state,county,candidate,party,votes,won
Delaware,Kent County,John Carney,DEM,44352,TRUE
Delaware,Kent County,Julianne Murray,REP,39332,FALSE
Delaware,Kent County,Kathy DeMatteis,IPD,1115,FALSE
Delaware,Kent County,John Machurek,LIB,616,FALSE
Delaware,New Castle County,John Carney,DEM,191678,TRUE
Delaware,New Castle County,Julianne Murray,REP,82545,FALSE
Delaware,New Castle County,Kathy DeMatteis,IPD,3785,FALSE
Delaware,New Castle County,John Machurek,LIB,2031,FALSE
Delaware,Sussex County,Julianne Murray,REP,68435,TRUE
Delaware,Sussex County,John Carney,DEM,56873,FALSE
Delaware,Sussex County,Kathy DeMatteis,IPD,1250,FALSE
Delaware,Sussex County,John Machurek,LIB,623,FALSE
Indiana,Adams County,Eric Holcomb,REP,9441,TRUE
Indiana,Adams County,Donald Rainwater,LIB,2570,FALSE
Indiana,Adams County,Woody Myers,DEM,2143,FALSE
Indiana,Allen County,Eric Holcomb,REP,98406,TRUE
Indiana,Allen County,Woody Myers,DEM,53895,FALSE
Indiana,Allen County,Donald Rainwater,LIB,16011,FALSE
Indiana,Bartholomew County,Eric Holcomb,REP,21959,TRUE
Indiana,Bartholomew County,Woody Myers,DEM,9013,FALSE
Indiana,Bartholomew County,Donald Rainwater,LIB,5065,FALSE
Indiana,Benton County,Eric Holcomb,REP,2815,TRUE
Indiana,Benton County,Woody Myers,DEM,671,FALSE
Indiana,Benton County,Donald Rainwater,LIB,614,FALSE
Indiana,Blackford County,Eric Holcomb,REP,3333,TRUE
Indiana,Blackford County,Donald Rainwater,LIB,1017,FALSE
Indiana,Blackford County,Woody Myers,DEM,933,FALSE
Indiana,Boone County,Eric Holcomb,REP,23737,TRUE
Indiana,Boone County,Woody Myers,DEM,9661,FALSE
Indiana,Boone County,Donald Rainwater,LIB,5094,FALSE
Indiana,Brown County,Eric Holcomb,REP,4953,TRUE
Indiana,Brown County,Woody Myers,DEM,2381,FALSE
Indiana,Brown County,Donald Rainwater,LIB,1623,FALSE
Indiana,Carroll County,Eric Holcomb,REP,6077,TRUE
Indiana,Carroll County,Donald Rainwater,LIB,1864,FALSE
Indiana,Carroll County,Woody Myers,DEM,1569,FALSE
Indiana,Cass County,Eric Holcomb,REP,8833,TRUE
Indiana,Cass County,Woody Myers,DEM,3373,FALSE
Indiana,Cass County,Donald Rainwater,LIB,2940,FALSE
Indiana,Clark County,Eric Holcomb,REP,34669,TRUE
Indiana,Clark County,Woody Myers,DEM,19077,FALSE
Indiana,Clark County,Donald Rainwater,LIB,3680,FALSE
Indiana,Clay County,Eric Holcomb,REP,8164,TRUE
Indiana,Clay County,Donald Rainwater,LIB,2242,FALSE
Indiana,Clay County,Woody Myers,DEM,1780,FALSE
Indiana,Clinton County,Eric Holcomb,REP,7971,TRUE
Indiana,Clinton County,Donald Rainwater,LIB,2514,FALSE
Indiana,Clinton County,Woody Myers,DEM,2406,FALSE
Indiana,Crawford County,Eric Holcomb,REP,3064,TRUE
Indiana,Crawford County,Woody Myers,DEM,1242,FALSE
Indiana,Crawford County,Donald Rainwater,LIB,553,FALSE
Indiana,Daviess County,Eric Holcomb,REP,8313,TRUE
Indiana,Daviess County,Donald Rainwater,LIB,2016,FALSE
Indiana,Daviess County,Woody Myers,DEM,1531,FALSE
Indiana,Dearborn County,Eric Holcomb,REP,18353,TRUE
Indiana,Dearborn County,Woody Myers,DEM,4559,FALSE
Indiana,Dearborn County,Donald Rainwater,LIB,2383,FALSE
Indiana,Decatur County,Eric Holcomb,REP,7911,TRUE
Indiana,Decatur County,Donald Rainwater,LIB,2787,FALSE
Indiana,Decatur County,Woody Myers,DEM,1562,FALSE
Indiana,DeKalb County,Eric Holcomb,REP,13042,TRUE
Indiana,DeKalb County,Woody Myers,DEM,3293,FALSE
Indiana,DeKalb County,Donald Rainwater,LIB,3158,FALSE
Indiana,Delaware County,Eric Holcomb,REP,26829,TRUE
Indiana,Delaware County,Woody Myers,DEM,15638,FALSE
Indiana,Delaware County,Donald Rainwater,LIB,5482,FALSE
Indiana,Dubois County,Eric Holcomb,REP,14403,TRUE
